Date,price,previous_close,signal,quantity,invested_money,returns,returns_in_per,cumulative_returns,cumulative_returns_in_per
6/3/2019,1036.22998,NAN,0,1,NAN,NAN,NAN,NAN,NAN
6/4/2019,1053.050049,1036.22998,1,1,1036.22998,16.820069,0.01623198453,16.820069,1.623198453
6/5/2019,1042.219971,1053.050049,0,1,1036.22998,-10.830078,-0.01028448554,5.989991,0.5780561377
6/6/2019,1044.339966,1042.219971,0,1,1036.22998,2.119995,0.002034114735,8.109986,0.7826434437
6/7/2019,1066.040039,1044.339966,1,1,1036.22998,21.700073,0.02077874419,29.810059,2.876780211
6/10/2019,1080.380005,1066.040039,0,1,1036.22998,14.339966,0.01345162046,44.150025,4.260639612
6/11/2019,1078.719971,1080.380005,0,1,1036.22998,-1.660034,-0.001536527881,42.489991,4.100440232
6/12/2019,1077.030029,1078.719971,0,1,1036.22998,-1.689942,-0.001566617885,40.800049,3.937354621
6/13/2019,1088.77002,1077.030029,0,1,1036.22998,11.739991,0.01090033767,52.54004,5.070306883
6/14/2019,1085.349976,1088.77002,0,1,1036.22998,-3.420044,-0.003141199645,49.119996,4.740260072
6/17/2019,1092.5,1085.349976,0,1,1036.22998,7.150024,0.006587758933,56.27002,5.430263656
6/18/2019,1103.599976,1092.5,0,1,1036.22998,11.099976,0.0101601611,67.369996,6.50145212
6/19/2019,1102.329956,1103.599976,0,1,1036.22998,-1.27002,-0.001150797415,66.099976,6.378890524
6/20/2019,1111.420044,1102.329956,0,1,1036.22998,9.090088,0.008246249637,75.190064,7.256117411
6/21/2019,1121.880005,1111.420044,0,1,1036.22998,10.459961,0.009411348173,85.650025,8.265542076
6/24/2019,1115.52002,1121.880005,0,1,1036.22998,-6.359985,-0.005669042118,79.29004,7.651780158
6/25/2019,1086.349976,1115.52002,-1,1,1036.22998,-29.170044,-0.02614927879,50.119996,4.836763746
6/26/2019,1079.800049,1086.349976,0,2,2122.579956,-13.099854,-0.006029297321,37.020142,1.7441106
6/27/2019,1076.01001,1079.800049,0,2,2122.579956,-7.580078,-0.003509945201,29.440064,1.386994347
6/28/2019,1080.910034,1076.01001,0,2,2122.579956,9.800048,0.004553883286,39.240112,1.848698886
